time ,power
70440,45383.9294
70470,45400.80649
70500,45417.68358
70530,45434.56067
70560,45451.43776
70590,45468.31485
70620,45485.19194
70650,45502.06903
70680,45518.94612
70710,45535.82321
70740,45552.7003
70770,45569.57739
70800,45586.45448
70830,45603.33158
70860,45620.20867
70890,45637.08576
70920,45653.96285
70950,45670.83994
70980,45687.71703
71010,45704.59412
71040,45721.47121
71070,45738.3483
71100,45755.22539
71130,45772.10248
71160,45788.97957
71190,45805.85666
71220,45822.73375
71250,45839.61084
71280,45856.48793
71310,45873.36502
71340,45890.24211
71370,45907.1192
71400,45923.99629
71430,45940.87338
71460,45957.75047
71490,45974.62756
71520,45991.50465
71550,46008.38174
71580,46025.25883
71610,46042.13592
71640,46059.01301
71670,46075.8901
71700,46092.76719
71730,46109.64428
71760,46126.52137
71790,46143.39846
71820,46160.27556
71850,46177.15265
71880,46194.02974
71910,46210.90683
71940,46227.78392
71970,46244.66101
72000,46261.5381
72030,46278.41519
72060,46295.29228
72090,46312.16937
72120,46329.04646
72150,46345.92355
72180,46362.80064
72210,46379.67773
72240,46396.55482
72270,46413.43191
72300,46430.309
72330,47217.449
72360,45785.563
72390,48213.938
72420,48790.305
72450,49366.672
72480,48674.246
72510,47700.68
72540,47287.051
72570,46960.816
72600,45716.656
72630,43212.523
72660,42937.168
72690,45392.789
72720,45644.531
72750,45201.82
72780,45861.645
72810,46143.957
72840,45634.438
72870,47032.254
72900,49999.492
72930,50079.195
72960,45892.219
72990,48239.836
73020,50000.465
73050,50574.773
73080,47974.133
73110,46008.199
73140,48229.266
73170,51121.422
73200,52829.957
73230,51124.313
73260,48730.434
73290,49174.668
73320,48493.113
73350,52010.293
73380,52067.727
73410,49098.887
73440,46378.547
73470,48929.355
73500,48572.898
73530,50875.691
73560,50612.926
73590,52142.211
73620,51028.379
73650,51180.398
73680,49291.355
73710,50169.102
73740,48981.621
73770,52947.449
73800,50819.102
73830,50119.379
73860,45940.918
73890,48217.426
73920,48397.469
73950,48678.777
73980,52416.07
74010,49137.641
